Director,Actor1,Actor2,Actor3,Rating,DirectorLikes,Actor1Likes,Actor2Likes,Actor3Likes
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,7.1,563,40000,5000,1000
Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,8.5,22000,27000,23000,23000
Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,6.6,475,640,632,530
Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,7.8,15,799,553,284
David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,7.5,282,25000,11000,10000
Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,6.7,395,451,412,393
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,7.3,563,40000,5000,1000
Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,6.5,563,40000,2000,1000
Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,6.6,80,22000,216,201
Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,6.7,252,40000,11000,1000
Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,6.8,188,10000,816,718
Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,7.0,464,15000,10000,963
Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,6.1,129,16000,6000,1000
Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,8.2,94,21000,19000,11000
Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,5.9,532,14000,10000,627
Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,7.0,365,3000,2000,1000
Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,7.2,1000,21000,4000,3000
Tim Burton,Johnny Depp,Alan Rickman,Anne Hathaway,6.5,13000,40000,25000,11000
Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,6.8,420,20000,808,560
Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,7.3,37,12000,779,760
Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,6.7,464,15000,10000,825
Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,6.8,364,12000,10000,1000
